,Unnamed: 0,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,teamId,ppda_cal,allowed_ppda,matchtime,tot_points,round,tot_goal,tot_con,Referee.x,HS.x,HST.x,HF.x,HC.x,HY.x,HR.x,AS.x,AST.x,AF.x,AC.x,AY.x,AR.x,B365H.x,B365D.x,B365A.x,HtrgPerc,AtrgPerc,matchDay,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
10,203,h,1.02552,1.5103,1.02552,1.5103,9,6,1,1,0.9812,d,2019-11-02 15:00:00,0,1,0,1,-0.48478000000000004,Arsenal,14.0714285714286,11.76,15,17,11,16,15,M Oliver,10,4,6,8,0,0,25,8,15,9,2,0,1.75,3.75,4.75,0.4,0.32,Sat,Arsenal,observation,1572713400,EGLC,Newham,2019-11-02 15:00:00,D,57,11,1201,Light Rain,,,48,57,72,28.83,6.0,57.0,230.0,SW,29.0,17.0,,,,,,Low,57,0,,,,,BKN,,,,,,,,,
11,233,a,0.9613389999999999,1.37055,0.9613389999999999,1.37055,10,14,0,2,1.0485,l,2019-11-09 17:30:00,0,0,1,0,-0.409211,Arsenal,17.1428571428571,8.08823529411765,17,17,12,16,17,C Kavanagh,19,7,10,5,1,0,8,1,10,4,1,0,2.0,3.75,3.5,0.368421052631579,0.125,Sat,Arsenal,observation,1573327200,EGLC,Newham,2019-11-09 17:30:00,N,46,11,1201,Light Rain,,,43,46,87,29.57,6.0,42.0,110.0,ESE,,9.0,,,,,,Low,42,0,,,,,BKN,,,,,,,,,
12,243,h,1.6082299999999998,2.60312,1.6082299999999998,1.6866400000000001,3,10,2,2,0.7112,d,2019-11-23 15:00:00,0,1,0,1,-0.0784099999999999,Arsenal,6.0,7.342857142857139,15,18,13,18,19,S Attwell,12,5,13,6,6,0,21,6,19,8,2,0,1.45,4.75,6.5,0.4166666666666671,0.28571428571428603,Sat,Arsenal,observation,1574527800,EGLC,Newham,2019-11-23 15:00:00,D,52,30,3000,Partly Cloudy,,,48,52,88,29.34,6.0,52.0,80.0,E,,10.0,,,,,,Low,52,0,,,,,SCT,,,,,,,,,
13,273,a,1.96157,0.810596,1.20044,0.810596,10,2,2,2,2.3135,d,2019-12-01 14:00:00,0,1,0,1,0.389844,Arsenal,7.8846153846153895,24.6666666666667,14,19,14,20,21,P Tierney,15,8,8,7,2,0,16,7,10,12,1,0,4.0,4.33,1.75,0.5333333333333329,0.4375,Sun,Arsenal,observation,1575215400,EGLC,Newham,2019-12-01 14:00:00,D,46,28,2800,Mostly Cloudy,,,39,46,76,30.19,6.0,42.0,,VAR,,8.0,,,,,,Low,42,0,,,,,BKN,,,,,,,,,
14,319,a,1.79181,0.5218470000000001,1.79181,0.5218470000000001,7,4,3,1,2.4088,w,2019-12-09 20:00:00,1,0,0,3,1.269963,Arsenal,23.1666666666667,12.1351351351351,20,22,16,24,24,M Dean,11,4,12,4,2,0,10,3,6,3,0,0,3.3,4.0,2.0,0.36363636363636404,0.3,Mon,Arsenal,observation,1575928200,EGLC,Newham,2019-12-09 20:00:00,N,45,33,3300,Fair,,,34,45,66,30.22,6.0,41.0,290.0,WNW,,7.0,,,,,,Low,41,0,,,,,CLR,,,,,,,,,
15,337,h,0.28160999999999997,1.69553,0.28160999999999997,1.69553,1,6,0,3,0.3017,l,2019-12-15 16:30:00,0,0,1,0,-1.41392,Arsenal,18.1304347826087,8.51351351351351,16,22,17,24,27,P Tierney,6,1,9,3,1,0,14,7,24,3,4,0,6.0,5.25,1.44,0.166666666666667,0.5,Sun,Arsenal,observation,1576434000,EGLC,Newham,2019-12-15 16:30:00,N,48,33,3300,Fair,,,37,48,66,29.45,6.0,43.0,210.0,SSW,,13.0,,,,,,Low,43,0,,,,,CLR,,,,,,,,,
16,341,a,0.881818,0.486523,0.881818,0.486523,1,8,0,0,1.7956,d,2019-12-21 12:30:00,0,1,0,1,0.395295,Arsenal,8.04347826086956,12.423076923076902,12,23,18,24,27,K Friend,9,0,10,5,2,0,6,2,11,4,3,0,2.3,3.8,2.87,0.0,0.33333333333333304,Sat,Arsenal,observation,1576938000,EGLC,Newham,2019-12-21 12:30:00,D,52,28,2800,Mostly Cloudy,,,45,52,76,28.92,6.0,52.0,200.0,SSW,,12.0,,,,,,Low,52,0,,,,,BKN,,,,,,,,,
17,361,a,1.42464,1.55463,1.42464,1.55463,13,9,1,1,1.2272,d,2019-12-26 15:00:00,0,1,0,1,-0.12999000000000002,Arsenal,7.653846153846151,23.8,15,24,19,25,28,S Attwell,12,4,5,8,4,0,17,2,13,3,4,0,3.5,3.9,1.95,0.33333333333333304,0.11764705882352902,Thu,Arsenal,observation,1577379000,EGLC,Newham,2019-12-26 15:00:00,D,52,26,2600,Cloudy,,,46,52,82,29.84,6.0,52.0,250.0,WSW,,17.0,,,,,,Low,52,0,,,,,OVC,,,,,,,,,
18,393,h,0.7852140000000001,1.49666,0.7852140000000001,1.49666,7,8,1,2,0.7611,l,2019-12-29 14:00:00,0,0,1,0,-0.711446,Arsenal,14.0434782608696,6.89473684210526,14,24,20,26,30,C Pawson,7,2,13,2,5,0,13,4,19,3,4,0,2.87,3.75,2.3,0.28571428571428603,0.307692307692308,Sun,Arsenal,observation,1577634600,EGLC,Newham,2019-12-29 14:00:00,D,50,34,3400,Fair,,,41,50,71,30.46,6.0,50.0,210.0,SSW,,9.0,,,,,,Low,50,0,,,,,CLR,,,,,,,,,
19,415,h,1.90747,0.7155630000000001,1.90747,0.7155630000000001,8,5,2,0,2.3441,w,2020-01-01 20:00:00,1,0,0,3,1.191907,Arsenal,13.5652173913043,11.2413793103448,20,27,21,28,30,C Kavanagh,10,4,11,1,2,0,10,4,15,4,0,0,2.55,3.6,2.62,0.4,0.4,Wed,Arsenal,observation,1577915400,EGLC,Newham,2020-01-01 20:00:00,N,45,26,2600,Cloudy,,,41,45,87,30.34,4.0,45.0,,VAR,,3.0,,,,,,Low,45,0,,,,,OVC,,,,,,,,,
20,421,a,1.4392399999999999,0.317862,1.4392399999999999,0.317862,8,5,1,1,2.5653,d,2020-01-11 12:30:00,0,1,0,1,1.121378,Arsenal,5.6875,8.81818181818182,12,28,22,29,31,P Tierney,6,3,14,1,2,0,7,4,22,4,3,1,4.1,3.9,1.8,0.5,0.5714285714285711,Sat,Arsenal,observation,1578752400,EGLC,Newham,2020-01-11 12:30:00,D,50,26,2600,Cloudy,,,45,50,82,30.22,6.0,50.0,220.0,SW,,15.0,,,,,,Low,50,0,,,,,OVC,,,,,,,,,
21,441,h,1.22882,1.18444,1.22882,1.18444,6,1,1,1,1.3849,d,2020-01-18 15:00:00,0,1,0,1,0.0443800000000001,Arsenal,9.44444444444444,8.972222222222221,15,29,23,30,32,M Dean,11,4,9,4,1,0,12,4,13,5,2,0,1.83,3.6,4.33,0.36363636363636404,0.33333333333333304,Sat,Arsenal,observation,1579366200,EGLC,Newham,2020-01-18 15:00:00,D,46,34,3400,Fair,,,34,46,62,30.37,6.0,42.0,300.0,WNW,,8.0,,,,,,Low,42,0,,,,,CLR,,,,,,,,,
22,497,a,1.48025,2.24562,1.48025,2.24562,4,4,0,0,0.8312,d,2020-02-02 14:00:00,0,1,0,1,-0.76537,Arsenal,6.63636363636364,11.166666666666698,14,31,25,32,34,C Kavanagh,15,2,8,5,1,0,13,2,11,7,3,0,3.6,3.6,2.0,0.133333333333333,0.153846153846154,Sun,Arsenal,observation,1580658600,EGLC,Newham,2020-02-02 14:00:00,D,57,30,3000,Partly Cloudy,,,45,57,63,29.72,6.0,57.0,260.0,W,,18.0,,,,,,Low,57,0,,,,,SCT,,,,,,,,,
23,515,h,3.02257,1.16662,3.02257,1.16662,16,4,4,0,2.5614,w,2020-02-16 16:30:00,1,0,0,3,1.85595,Arsenal,5.6551724137931005,19.5555555555556,16,34,26,36,34,L Mason,15,7,15,5,2,0,10,2,9,6,0,0,1.4,4.75,8.0,0.46666666666666706,0.2,Sun,Arsenal,observation,1581877200,EGLC,Newham,2020-02-16 16:30:00,D,46,34,3400,Fair,,,41,46,81,29.39,6.0,40.0,230.0,SW,,15.0,,,,,,Low,40,0,,,,,FEW,,,,,,,,,
24,537,h,1.3356700000000001,2.65691,1.3356700000000001,2.65691,5,1,3,2,0.4634,w,2020-02-23 16:30:00,1,0,0,3,-1.32124,Arsenal,13.6,10.7777777777778,16,37,27,39,36,S Attwell,9,4,12,6,0,0,17,5,12,3,4,0,2.0,3.6,3.7,0.444444444444444,0.294117647058824,Sun,Arsenal,observation,1582482000,EGLC,Newham,2020-02-23 16:30:00,D,52,30,3000,Partly Cloudy,,,37,52,58,30.1,6.0,52.0,300.0,WNW,,12.0,,,,,,Low,52,0,,,,,SCT,,,,,,,,,
25,559,h,1.55974,1.61615,1.55974,1.61615,7,10,1,0,1.3209,w,2020-03-07 15:00:00,1,0,0,3,-0.0564100000000001,Arsenal,11.8,23.1333333333333,15,40,28,40,36,M Atkinson,9,2,11,6,1,0,14,6,9,7,2,0,1.57,4.4,5.5,0.222222222222222,0.42857142857142894,Sat,Arsenal,observation,1583599800,EGLC,Newham,2020-03-07 15:00:00,D,55,34,3400,Fair,,,46,55,72,29.96,6.0,55.0,240.0,WSW,,13.0,,,,,,Low,55,1,,,,,CLR,,,,,,,,,
