,Unnamed: 0,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,teamId,ppda_cal,allowed_ppda,matchtime,tot_points,round,tot_goal,tot_con,Referee.x,HS.x,HST.x,HF.x,HC.x,HY.x,HR.x,AS.x,AST.x,AF.x,AC.x,AY.x,AR.x,B365H.x,B365D.x,B365A.x,HtrgPerc,AtrgPerc,matchDay,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
10,41,h,0.8559260000000001,1.25668,0.8559260000000001,1.25668,6,12,2,0,0.9697,w,2019-08-23 20:00:00,1,0,0,3,-0.400754,Aston Villa,13.25,5.40740740740741,20,3,3,4,5,M Oliver,7,3,10,0,2,0,12,1,18,6,3,0,3.25,3.5,2.15,0.42857142857142894,0.0833333333333333,Fri,Aston Villa,observation,1566597000,EGBB,Birmingham,2019-08-23 20:00:00,N,66.0,33,3300,Fair,,,59.0,66.0,78.0,29.8,6.0,66.0,,VAR,,3.0,,,,,,Low,66.0,0,,,,,CLR,,,,,,,,,
11,45,h,0.997711,2.07795,0.997711,2.07795,6,6,0,2,0.5691,l,2019-08-24 15:00:00,0,0,1,0,-1.080239,Brighton,9.17391304347826,10.75,15,4,3,4,3,K Friend,12,3,9,8,1,1,12,4,10,5,3,0,2.4,3.3,3.0,0.25,0.33333333333333304,Sat,Brighton,observation,1566665400,EGKK,London/Gatwick,2019-08-24 15:00:00,D,82.0,34,3400,Fair,,,54.0,81.0,37.0,29.84,6.0,82.0,180.0,S,,8.0,,,,,,Moderate,81.0,3,,,,,CLR,,,,,,,,,
12,53,a,0.985542,2.78821,0.985542,2.02704,7,9,1,3,0.3434,l,2019-08-24 17:30:00,0,0,1,0,-1.041498,Arsenal,28.428571428571402,9.783783783783779,17,6,3,4,4,A Taylor,25,5,8,6,1,0,9,3,5,4,1,0,1.5,4.6,6.0,0.2,0.33333333333333304,Sat,Arsenal,observation,1566674400,EGLC,Newham,2019-08-24 17:30:00,D,82.0,34,3400,Fair,,,52.0,81.0,35.0,30.01,5.0,82.0,170.0,S,,8.0,,,,,,Low,81.0,0,,,,,CLR,,,,,,,,,
13,55,h,1.89345,3.12856,1.89345,3.12856,3,17,1,3,0.6611,l,2019-08-25 14:00:00,0,0,1,0,-1.23511,Bournemouth,22.9,5.17391304347826,14,4,3,4,5,A Marriner,10,7,7,4,1,0,19,5,13,5,3,0,15.0,7.5,1.16,0.7,0.263157894736842,Sun,Bournemouth,observation,1566748200,EGHH,Bournemouth,2019-08-25 14:00:00,D,77.0,34,3400,Fair,,,61.0,79.0,57.0,29.99,6.0,77.0,170.0,S,,10.0,,,,,,Moderate,79.0,5,,,,,CLR,,,,,,,,,
14,57,a,1.2276200000000002,1.3279299999999998,1.2276200000000002,0.56676,4,4,1,1,1.2223,d,2019-08-25 16:30:00,0,1,0,1,0.66086,Burnley,14.619047619047599,11.833333333333302,16,4,3,5,3,C Pawson,17,2,9,4,0,0,13,4,11,3,2,0,1.85,3.4,4.5,0.11764705882352902,0.307692307692308,Sun,Burnley,observation,1566757200,EGNM,Leeds,2019-08-25 16:30:00,D,81.0,34,3400,Fair,,,57.0,81.0,45.0,29.33,6.0,81.0,150.0,SSE,,7.0,,,,,,Low,81.0,1,,,,,CLR,,,,,,,,,
15,63,a,0.30354000000000003,1.41394,0.30354000000000003,1.41394,5,13,0,1,0.4799,l,2019-08-31 15:00:00,0,0,1,0,-1.1104,Aston Villa,9.04,9.0,15,3,4,4,6,K Friend,22,5,15,13,2,0,10,2,16,2,4,1,2.15,3.3,3.5,0.22727272727272702,0.2,Sat,Aston Villa,observation,1567270200,EGBB,Birmingham,2019-08-31 15:00:00,D,66.0,30,3000,Partly Cloudy,,,48.0,66.0,52.0,29.45,6.0,66.0,270.0,W,,10.0,,,,,,Low,66.0,2,,,,,SCT,,,,,,,,,
16,64,a,0.554726,2.23766,0.554726,2.23766,7,10,1,3,0.2616,l,2019-08-31 15:00:00,0,0,1,0,-1.682934,Bournemouth,10.0,6.91428571428571,15,4,4,5,8,P Bankes,13,5,9,4,1,0,8,2,11,5,3,0,1.7,4.0,4.75,0.384615384615385,0.25,Sat,Bournemouth,observation,1567270200,EGHH,Bournemouth,2019-08-31 15:00:00,D,64.0,30,3000,Partly Cloudy,,,57.0,64.0,77.0,29.82,6.0,64.0,310.0,NW,,10.0,,,,,,Low,64.0,2,,,,,SCT,,,,,,,,,
17,65,a,0.861035,2.30818,0.861035,2.30818,7,16,0,4,0.4379,l,2019-08-31 15:00:00,0,0,1,0,-1.4471450000000001,Brighton,21.625,11.4375,15,4,4,4,7,J Moss,15,6,10,8,1,0,6,2,6,1,1,0,1.08,10.0,26.0,0.4,0.33333333333333304,Sat,Brighton,observation,1567270200,EGKK,London/Gatwick,2019-08-31 15:00:00,D,68.0,28,2800,Mostly Cloudy,,,55.0,68.0,64.0,29.61,6.0,68.0,230.0,SW,,14.0,,,,,,Low,68.0,1,,,,,BKN,,,,,,,,,
18,75,h,0.61739,1.2005700000000001,0.61739,1.2005700000000001,0,11,0,3,0.8487,l,2019-08-31 17:30:00,0,0,1,0,-0.58318,Burnley,16.2631578947368,6.20833333333333,17,4,4,5,6,C Kavanagh,7,2,10,6,0,0,15,7,16,4,0,0,9.5,5.5,1.3,0.28571428571428603,0.46666666666666706,Sat,Burnley,observation,1567279200,EGNM,Leeds,2019-08-31 17:30:00,D,57.0,30,3000,Partly Cloudy,,,48.0,57.0,72.0,29.07,6.0,57.0,260.0,W,,17.0,,,,,,Low,57.0,0,,,,,SCT,,,,,,,,,
19,79,h,1.9250900000000002,1.95514,1.9250900000000002,1.19397,12,6,2,2,1.2919,d,2019-09-01 16:30:00,0,1,0,1,0.73112,Arsenal,6.78787878787879,12.176470588235302,16,7,4,6,6,M Atkinson,26,8,13,11,3,0,13,9,19,6,5,0,2.37,3.6,2.8,0.307692307692308,0.6923076923076921,Sun,Arsenal,observation,1567362000,EGLC,Newham,2019-09-01 16:30:00,D,68.0,34,3400,Fair,,,43.0,68.0,40.0,30.04,6.0,68.0,290.0,WNW,,12.0,,,,,,Low,68.0,1,,,,,CLR,,,,,,,,,
20,83,h,1.68545,0.341654,1.68545,0.341654,13,4,1,1,2.4816,d,2019-09-14 15:00:00,0,1,0,1,1.343796,Brighton,3.96428571428571,12.1,14,5,5,5,8,M Oliver,14,5,13,3,0,0,7,1,7,6,2,0,2.15,3.3,3.5,0.3571428571428571,0.14285714285714302,Sat,Brighton,observation,1568479800,EGKK,London/Gatwick,2019-09-14 15:00:00,D,72.0,34,3400,Fair,,,45.0,72.0,38.0,30.19,6.0,72.0,40.0,NE,,6.0,,,,,,Low,72.0,2,,,,,CLR,,,,,,,,,
21,84,a,0.341654,1.68545,0.341654,1.68545,4,13,1,1,0.3291,d,2019-09-14 15:00:00,0,1,0,1,-1.343796,Burnley,12.1,3.96428571428571,14,5,5,6,7,M Oliver,14,5,13,3,0,0,7,1,7,6,2,0,2.15,3.3,3.5,0.3571428571428571,0.14285714285714302,Sat,Burnley,observation,1568479800,EGNM,Leeds,2019-09-14 15:00:00,D,64.0,34,3400,Fair,,,46.0,64.0,52.0,29.62,6.0,64.0,230.0,SW,,14.0,,,,,,Low,64.0,2,,,,,CLR,,,,,,,,,
22,95,h,1.4154200000000001,1.50641,1.4154200000000001,1.50641,3,9,3,1,1.2948,w,2019-09-15 14:00:00,1,0,0,3,-0.0909900000000001,Bournemouth,12.090909090909099,5.51612903225806,13,7,5,8,9,P Tierney,13,6,5,7,0,0,14,5,14,7,4,0,2.9,3.5,2.4,0.46153846153846206,0.3571428571428571,Sun,Bournemouth,observation,1568562600,EGHH,Bournemouth,2019-09-15 14:00:00,D,72.0,34,3400,Fair,,,59.0,72.0,64.0,30.2,6.0,72.0,170.0,S,,10.0,,,,,,Moderate,72.0,3,,,,,CLR,,,,,,,,,
23,97,a,1.00616,2.83209,1.00616,2.07092,7,12,2,2,0.3084,d,2019-09-15 16:30:00,0,1,0,1,-1.06476,Arsenal,21.4166666666667,9.071428571428571,15,8,5,8,8,A Taylor,31,7,14,7,3,0,10,4,4,1,3,0,3.6,3.6,2.0,0.22580645161290303,0.4,Sun,Arsenal,observation,1568571600,EGLC,Newham,2019-09-15 16:30:00,D,79.0,34,3400,Fair,,,57.0,80.0,47.0,30.16,6.0,79.0,280.0,W,,6.0,,,,,,Low,80.0,1,,,,,CLR,,,,,,,,,
24,99,h,1.4050200000000002,0.535279,1.4050200000000002,0.535279,4,9,0,0,2.1615,d,2019-09-16 20:00:00,0,1,0,1,0.869741,Aston Villa,9.68181818181818,10.090909090909099,19,4,5,4,6,M Dean,10,5,13,2,2,0,13,1,12,4,1,1,2.62,3.5,2.6,0.5,0.0769230769230769,Mon,Aston Villa,observation,1568670600,EGBB,Birmingham,2019-09-16 20:00:00,N,59.0,26,2600,Cloudy,,,48.0,59.0,67.0,29.89,6.0,59.0,320.0,NW,,9.0,,,,,,Low,59.0,0,,,,,OVC,,,,,,,,,
25,101,a,1.2977299999999998,2.1802099999999998,1.2977299999999998,1.4190399999999999,2,6,3,1,0.7327,w,2019-09-20 20:00:00,1,0,0,3,-0.12130999999999999,Bournemouth,17.9375,4.08571428571429,19,10,6,11,10,C Kavanagh,25,6,8,4,1,0,6,3,9,5,3,0,2.05,3.6,3.5,0.24,0.5,Fri,Bournemouth,observation,1569016200,EGHH,Bournemouth,2019-09-20 20:00:00,N,63.0,33,3300,Fair,,,41.0,63.0,45.0,30.02,6.0,63.0,90.0,E,,10.0,,,,,,Low,63.0,0,,,,,CLR,,,,,,,,,
